
"run.number","line1","line2","initial.villages","fertile.land","barren.land","tribute","probability.fragment","probability.grow","probability.death","probability.attack","placement.distance","moving.distance","conquering.area","links","labels","step","average.hierarchy","social.circumscription","environmental.circumscription","count.villages","all.visible.rivals","average.visible.rivals"
"4","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","0","0","0","0","10","0","0"
"6","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","0","0","0","0","10","0","0"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","0","0","0","0","10","0","0"
"8","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","0","0","0","0","10","0","0"
"10","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","0","0","0","0","10","0","0"
"9","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","0","0","0","0","10","0","0"
"3","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","0","0","0","0","10","0","0"
"2","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","0","0","0","0","10","0","0"
"5","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","0","0","0","0","10","0","0"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","0","0","0","0","10","0","0"
"4","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","1","1","0","0.22499999999999987","10","0","0"
"6","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","1","1.1","0.15","0.22499999999999987","10","4","0.4"
"10","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","1","1","0","0.22499999999999987","10","0","0"
"2","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","1","1","0","0.22499999999999987","10","0","0"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","1","1","0.1","0.22499999999999987","10","4","0.4"
"4","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","2","1","0","0.22499999999999987","10","0","0"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","1","1.1","0.1","0.22499999999999987","10","2","0.2"
"3","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","1","1.1","0.15","0.22499999999999987","10","4","0.4"
"9","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","1","1.1","0.1","0.22499999999999987","10","2","0.2"
"10","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","2","1","0","0.22499999999999987","10","0","0"
"2","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","2","1","0","0.22499999999999987","10","0","0"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","2","1.1","0.1","0.22499999999999987","10","2","0.2"
"6","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","2","1.3","0.1","0.22499999999999987","10","0","0"
"4","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","3","1","0","0.22499999999999987","10","0","0"
"10","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","3","1","0","0.22499999999999987","10","0","0"
"8","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","1","1.1","0.05","0.22499999999999987","10","0","0"
"6","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","3","1.3","0.1","0.22499999999999987","10","0","0"
"9","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","2","1.1","0.05","0.22499999999999987","10","0","0"
"3","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","2","1.1","0.05","0.22499999999999987","10","0","0"
"4","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","4","1","0","0.22499999999999987","10","0","0"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","2","1","0.05","0.22499999999999987","10","2","0.2"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","3","1.3","0.1","0.22499999999999987","10","0","0"
"10","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","4","1","0","0.22499999999999987","10","0","0"
"8","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","2","1.1","0.05","0.22499999999999987","10","0","0"
"4","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","5","1","0","0.22499999999999987","10","0","0"
"3","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","3","1.1","0.05","0.22499999999999987","10","0","0"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","4","1.3","0.1","0.22499999999999987","10","0","0"
"9","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","3","1.1","0.05","0.22499999999999987","10","0","0"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","3","1.1","0.05","0.22499999999999987","10","0","0"
"4","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","6","1","0","0.22499999999999987","10","0","0"
"8","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","3","1.1","0.05","0.22499999999999987","10","0","0"
"10","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","5","1","0","0.22499999999999987","10","0","0"
"6","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","4","1.3","0.1","0.22499999999999987","10","0","0"
"9","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","4","1.1","0.05","0.22499999999999987","10","0","0"
"3","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","4","1.1","0.05","0.22499999999999987","10","0","0"
"8","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","4","1.1","0.05","0.22499999999999987","10","0","0"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","5","1.3","0.1","0.22499999999999987","10","0","0"
"4","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","7","1","0","0.22499999999999987","10","0","0"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","4","1.1","0.05","0.22499999999999987","10","0","0"
"5","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","1","1.263157894736842","0.3684210526315789","0.22499999999999976","19","18","0.9473684210526315"
"10","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","6","1","0","0.22499999999999987","10","0","0"
"6","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","5","1.3","0.1","0.22499999999999987","10","0","0"
"9","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","5","1.1","0.05","0.22499999999999987","10","0","0"
"8","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","5","1.1","0.05","0.22499999999999987","10","0","0"
"3","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","5","1.1","0.05","0.22499999999999987","10","0","0"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","5","1.1","0.05","0.22499999999999987","10","0","0"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","6","1.3","0.1","0.22499999999999987","10","0","0"
"6","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","6","1.3","0.1","0.22499999999999987","10","0","0"
"4","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","8","1","0","0.22499999999999987","10","0","0"
"8","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","6","1.1","0.05","0.22499999999999987","10","0","0"
"9","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","6","1.1","0.05","0.22499999999999987","10","0","0"
"1","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","7","1.3","0.1","0.22499999999999987","10","0","0"
"3","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","6","1.1","0.05","0.22499999999999987","10","0","0"
"4","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","9","1","0","0.22499999999999987","10","0","0"
"7","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","6","1.1","0.05","0.22499999999999987","10","0","0"
"2","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","3","1.2222222222222223","0.3333333333333333","0.22499999999999976","18","16","0.8888888888888888"
"6","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","7","1.3","0.1","0.22499999999999987","10","0","0"
"5","-20","-18","11","100","10","0.1","0.01","0.1","0","1","1","1","1","false","false","2","1.5263157894736843","0.3157894736842105","0.22499999999999976","19","8","0.42105263157894735"
