
"run.number","line1","line2","initial.villages","fertile.land","barren.land","tribute","probability.fragment","probability.grow","probability.death","probability.attack","placement.distance","moving.distance","conquering.area","links","labels","step","average.hierarchy","social.circumscription","environmental.circumscription","count.villages","all.visible.rivals","average.visible.rivals"
"9","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","0","0","0","0","10","0","0"
"5","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","0","0","0","0","10","0","0"
"3","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","0","0","0","0","10","0","0"
"7","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","0","0","0","0","10","0","0"
"1","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","0","0","0","0","10","0","0"
"4","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","0","0","0","0","10","0","0"
"10","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","0","0","0","0","10","0","0"
"8","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","0","0","0","0","10","0","0"
"2","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","0","0","0","0","10","0","0"
"6","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","0","0","0","0","10","0","0"
"7","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","1","1.1","0.05","0.025000000000000133","10","0","0"
"4","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","1","1","0","0.025000000000000133","10","0","0"
"3","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","1","1","0","0.025000000000000133","10","0","0"
"6","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","1","1.1","0.05","0.025000000000000133","10","0","0"
"10","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","1","1.1","0.05","0.03500000000000014","10","0","0"
"2","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","1","1.1","0.1","0.030000000000000027","10","4","0.4"
"7","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","2","1.1","0.05","0.025000000000000133","10","0","0"
"9","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","1","1.1","0.05","0.025000000000000133","10","0","0"
"4","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","2","1","0","0.025000000000000133","10","0","0"
"6","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","2","1.1","0.05","0.025000000000000133","10","0","0"
"10","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","2","1.1","0.05","0.03500000000000014","10","0","0"
"3","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","2","1","0","0.025000000000000133","10","0","0"
"2","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","2","1.1","0","0.03500000000000014","10","0","0"
"9","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","2","1.1","0.05","0.025000000000000133","10","0","0"
"6","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","3","1.1","0.05","0.025000000000000133","10","0","0"
"4","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","3","1","0","0.025000000000000133","10","0","0"
"2","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","3","1.1","0","0.03500000000000014","10","0","0"
"9","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","3","1.1","0.05","0.025000000000000133","10","0","0"
"5","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","1","1.35","0.35","0.02750000000000008","20","14","0.7"
"8","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","1","1.105263157894737","0.2894736842105263","0.04078947368421049","19","18","0.9473684210526315"
"2","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","4","1.1","0","0.03500000000000014","10","0","0"
"4","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","4","1","0","0.025000000000000133","10","0","0"
"9","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","4","1.1","0.05","0.025000000000000133","10","0","0"
"2","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","5","1.1","0","0.03500000000000014","10","0","0"
"6","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","4","1.1","0.05","0.025000000000000133","10","0","0"
"4","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","5","1","0","0.025000000000000133","10","0","0"
"1","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","1","1.3","0.25","0.029999999999999916","20","8","0.4"
"9","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","5","1.1","0.05","0.025000000000000133","10","0","0"
"2","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","6","1.1","0","0.03500000000000014","10","0","0"
"6","-20","-18","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","5","1.1","0.05","0.025000000000000133","10","0","0"
