
"run.number","line1","line2","initial.villages","fertile.land","barren.land","tribute","probability.fragment","probability.grow","probability.death","probability.attack","placement.distance","moving.distance","conquering.area","links","labels","step","average.hierarchy","social.circumscription","environmental.circumscription","count.villages","all.visible.rivals","average.visible.rivals"
"3","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"1","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"8","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"10","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"9","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"7","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"4","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"6","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"5","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"2","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"10","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.5","0.01139240506329114","0.7937658227848101","10","26","2.6"
"4","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.8333333333333333","0.017932489451476793","0.7893987341772152","12","54","4.5"
"1","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.1","0.014556962025316455","0.7889240506329114","10","44","4.4"
"4","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","2","2.0833333333333335","0.017932489451476793","0.7893987341772152","12","42","3.5"
"3","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.4615384615384615","0.024342745861733205","0.7895813047711782","13","88","6.769230769230769"
"2","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.3076923076923077","0.01801363193768257","0.7889240506329114","13","66","5.076923076923077"
"9","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.3636363636363635","0.020138089758342925","0.7891829689298044","11","64","5.818181818181818"
"7","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.3333333333333333","0.015822784810126583","0.7917721518987342","12","52","4.333333333333333"
"8","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.0833333333333333","0.014240506329113925","0.7915348101265823","12","52","4.333333333333333"
"5","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.5","0.018535262206148283","0.7899412296564196","14","68","4.857142857142857"
"1","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","2","1.2","0.01329113924050633","0.7889240506329114","10","38","3.8"
"10","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","2","1.9285714285714286","0.018535262206148283","0.792382459312839","14","60","4.285714285714286"
"3","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","2","1.8235294117647058","0.03201787043931497","0.7904318689501117","17","148","8.705882352941176"
"9","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","2","1.5454545454545454","0.020138089758342925","0.7891829689298044","11","60","5.454545454545454"
"6","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.25","0.013713080168776372","0.794620253164557","12","46","3.8333333333333335"
"1","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","3","1.6","0.013924050632911392","0.7889240506329114","10","30","3"
"4","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","3","2.2","0.023628691983122358","0.7936708860759494","15","78","5.2"
"7","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","2","1.6666666666666667","0.015822784810126583","0.7917721518987342","12","38","3.1666666666666665"
"2","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","2","1.4444444444444444","0.023558368495077357","0.7890822784810126","18","112","6.222222222222222"
"8","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","2","1.5","0.0162748643761302","0.791365280289331","14","58","4.142857142857143"
"7","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","3","1.75","0.015295358649789028","0.792009493670886","12","34","2.8333333333333335"
"5","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","2","1.6428571428571428","0.018535262206148283","0.7911618444846293","14","56","4"
"2","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","3","1.6666666666666667","0.023558368495077354","0.7890822784810126","18","102","5.666666666666667"
"1","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","4","1.6923076923076923","0.018500486854917234","0.7898003894839338","13","52","4"
"3","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","3","1.9473684210526316","0.032978014656895406","0.7962691538974017","19","150","7.894736842105263"
"6","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","2","1.4375","0.018591772151898733","0.7960443037974684","16","78","4.875"
"8","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","3","2","0.017179023508137433","0.7899412296564196","14","40","2.857142857142857"
"10","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","3","2.1875","0.02136075949367089","0.7931962025316456","16","68","4.25"
"4","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","4","2.0588235294117645","0.02308265078183172","0.79897617274758","17","88","5.176470588235294"
"9","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","3","1.6","0.022784810126582285","0.7900632911392406","15","88","5.866666666666666"
"3","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","4","2.0526315789473686","0.032978014656895406","0.7962691538974017","19","132","6.947368421052632"
"5","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","3","2","0.018083182640144666","0.7960443037974684","14","44","3.142857142857143"
"7","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","4","1.7142857142857142","0.01808318264014467","0.7929927667269439","14","48","3.4285714285714284"
"1","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","5","1.7058823529411764","0.020476545048399103","0.7956254653760239","17","80","4.705882352941177"
"10","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","4","2.5","0.021360759493670885","0.7931962025316456","16","52","3.25"
"7","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","5","2.0714285714285716","0.018083182640144666","0.7929927667269439","14","34","2.4285714285714284"
"10","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","5","2.625","0.022151898734177215","0.7933742088607595","16","32","2"
"5","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","4","1.875","0.01819620253164557","0.8012064873417721","16","56","3.5"
"8","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","4","1.9444444444444444","0.02461322081575246","0.7897151898734177","18","94","5.222222222222222"
"1","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","6","1.9444444444444444","0.01933895921237694","0.8014240506329113","18","64","3.5555555555555554"
"4","-20","-18","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","5","1.9473684210526316","0.025316455696202524","0.8027148567621586","19","116","6.105263157894737"
