
"run.number","line1","line2","initial.villages","fertile.land","barren.land","tribute","probability.fragment","probability.grow","probability.death","probability.attack","placement.distance","moving.distance","conquering.area","links","labels","step","average.hierarchy","social.circumscription","environmental.circumscription","count.villages","all.visible.rivals","average.visible.rivals"
"3","-20","-18","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"9","-20","-18","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"10","-20","-18","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"2","-20","-18","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"1","-20","-18","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"6","-20","-18","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"5","-20","-18","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"8","-20","-18","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"4","-20","-18","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"7","-20","-18","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","10","0","0"
"5","-20","-18","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.1","0.010126582278481015","0.0879113924050634","10","30","3"
"9","-20","-18","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1","0.0120253164556962","0.08768987341772161","10","38","3.8"
"8","-20","-18","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.1","0.012658227848101267","0.08822784810126583","10","38","3.8"
"5","-20","-18","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","2","1.1","0.00759493670886076","0.09034810126582293","10","22","2.2"
"9","-20","-18","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","2","1.2","0.012025316455696202","0.08768987341772161","10","34","3.4"
"8","-20","-18","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","2","1.4","0.012658227848101267","0.08822784810126583","10","32","3.2"
"2","-20","-18","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.15","0.025316455696202535","0.08857594936708857","20","154","7.7"
"5","-20","-18","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","3","1.4","0.00759493670886076","0.09034810126582271","10","16","1.6"
"9","-20","-18","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","3","1.7","0.0120253164556962","0.08768987341772161","10","24","2.4"
"6","-20","-18","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.35","0.021202531645569622","0.08903481012658232","20","120","6"
"7","-20","-18","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.2777777777777777","0.015822784810126587","0.08990857946554143","18","80","4.444444444444445"
"3","-20","-18","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.2","0.026582278481012654","0.08848101265822772","20","160","8"
"4","-20","-18","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.35","0.025949367088607594","0.08825949367088604","20","150","7.5"
"1","-20","-18","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.5263157894736843","0.025649566955363093","0.08867421718854096","19","138","7.2631578947368425"
"10","-20","-18","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.15","0.028797468354430374","0.08830696202531618","20","176","8.8"
"2","-20","-18","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","2","1.5","0.022468354430379752","0.08920886075949352","20","126","6.3"
"8","-20","-18","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","3","2.0526315789473686","0.02564956695536309","0.08827448367754831","19","124","6.526315789473684"
"7","-20","-18","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","2","1.5555555555555556","0.014416315049226445","0.09068213783403656","18","60","3.3333333333333335"
"4","-20","-18","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","2","1.6","0.022151898734177215","0.08995253164556982","20","122","6.1"
"3","-20","-18","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","2","1.45","0.02563291139240506","0.0889556962025313","20","150","7.5"
"5","-20","-18","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","4","1.4210526315789473","0.017321785476349105","0.09122251832111905","19","86","4.526315789473684"
"7","-20","-18","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","3","1.5555555555555556","0.016877637130801686","0.08973277074542885","18","76","4.222222222222222"
"8","-20","-18","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","4","2.210526315789474","0.0256495669553631","0.0882744836775482","19","114","6"
"9","-20","-18","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","4","1.6","0.018354430379746836","0.08950949367088601","20","104","5.2"
"7","-20","-18","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","4","1.7222222222222223","0.014064697609001408","0.09163150492264394","18","56","3.111111111111111"
"8","-20","-18","11","100","90","0.1","0.01","0.5","0","1","10","10","10","false","false","5","2.6315789473684212","0.02564956695536309","0.08827448367754831","19","106","5.578947368421052"
