
"run.number","green.patches","initial.villages","fertile.land","barren.land","tribute","probability.fragment","probability.grow","probability.death","probability.attack","placement.distance","moving.distance","conquering.area","links","labels","step","average.hierarchy","social.circumscription","environmental.circumscription","count.villages","all.visible.rivals","average.visible.rivals"
"7","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","0","0","0","0","11","0","0"
"8","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","0","0","0","0","11","0","0"
"6","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","0","0","0","0","11","0","0"
"5","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","0","0","0","0","11","0","0"
"1","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","0","0","0","0","11","0","0"
"2","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","0","0","0","0","11","0","0"
"10","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","0","0","0","0","11","0","0"
"4","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","0","0","0","0","11","0","0"
"9","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","0","0","0","0","11","0","0"
"3","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","0","0","0","0","11","0","0"
"7","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","1","1","0","0.09318181818181803","11","0","0"
"10","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","1","1","0","0.09999999999999976","11","0","0"
"6","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","1","1","0","0.09318181818181803","11","0","0"
"8","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","1","1","0","0.09318181818181803","11","0","0"
"4","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","1","1","0","0.09545454545454535","11","0","0"
"9","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","1","1","0","0.09772727272727255","11","0","0"
"3","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","1","1","0","0.09999999999999976","11","0","0"
"2","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","1","1","0","0.09772727272727255","11","0","0"
"1","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","1","1.0909090909090908","0.045454545454545456","0.09090909090909072","11","0","0"
"7","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","2","1","0","0.09318181818181803","11","0","0"
"8","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","2","1","0","0.09318181818181792","11","0","0"
"10","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","2","1","0","0.09999999999999976","11","0","0"
"9","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","2","1","0","0.09772727272727255","11","0","0"
"3","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","2","1","0","0.09999999999999976","11","0","0"
"2","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","2","1","0","0.09772727272727255","11","0","0"
"6","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","2","1","0","0.09318181818181792","11","0","0"
"4","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","2","1","0","0.09545454545454524","11","0","0"
"1","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","2","1.0909090909090908","0.045454545454545456","0.09090909090909094","11","0","0"
"7","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","3","1","0","0.09318181818181792","11","0","0"
"8","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","3","1","0","0.09318181818181792","11","0","0"
"10","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","3","1","0","0.09999999999999976","11","0","0"
"9","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","3","1","0","0.09772727272727255","11","0","0"
"3","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","3","1","0","0.09999999999999976","11","0","0"
"4","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","3","1","0","0.09545454545454524","11","0","0"
"2","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","3","1","0","0.09772727272727255","11","0","0"
"1","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","3","1.0909090909090908","0.045454545454545456","0.09090909090909072","11","0","0"
"8","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","4","1","0","0.09318181818181803","11","0","0"
"10","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","4","1","0","0.09999999999999976","11","0","0"
"9","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","4","1","0","0.09772727272727255","11","0","0"
"3","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","4","1","0","0.09999999999999976","11","0","0"
"1","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","4","1.0909090909090908","0.045454545454545456","0.09090909090909072","11","0","0"
"2","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","4","1","0","0.09772727272727266","11","0","0"
"8","82","11","100","90","0.1","0.01","0.1","0","1","1","1","1","false","false","5","1","0","0.09318181818181803","11","0","0"
