
"run.number","green.patches","initial.villages","fertile.land","barren.land","tribute","probability.fragment","probability.grow","probability.death","probability.attack","placement.distance","moving.distance","conquering.area","links","labels","step","average.hierarchy","social.circumscription","environmental.circumscription","count.villages","all.visible.rivals","average.visible.rivals"
"5","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"3","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"9","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"2","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"1","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"10","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"8","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"4","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"6","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"7","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"5","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.1818181818181819","0.004027617951668585","0.09502301495972387","11","10","0.9090909090909091"
"6","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.0909090909090908","0.008630609896432682","0.09427502876869953","11","28","2.5454545454545454"
"3","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.2727272727272727","0.006329113924050634","0.09545454545454557","11","16","1.4545454545454546"
"7","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.0909090909090908","0.004027617951668585","0.09493670886075944","11","12","1.0909090909090908"
"8","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.0909090909090908","0.005753739930955121","0.09522439585730735","11","20","1.8181818181818181"
"1","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.2727272727272727","0.005753739930955121","0.0957134637514383","11","16","1.4545454545454546"
"2","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.2727272727272727","0.006329113924050634","0.09548331415420008","11","16","1.4545454545454546"
"4","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.1818181818181819","0.005178365937859608","0.09562715765247409","11","14","1.2727272727272727"
"10","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.4545454545454546","0.005178365937859608","0.09482163406214039","11","10","0.9090909090909091"
"5","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","2","1.1818181818181819","0.003452243958573073","0.0947640966628307","11","10","0.9090909090909091"
"6","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","2","1.1818181818181819","0.009205983889528193","0.0945339470655927","11","28","2.5454545454545454"
"3","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","2","1.3636363636363635","0.00805523590333717","0.09536823935558125","11","20","1.8181818181818181"
"7","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","2","1.1818181818181819","0.00517836593785961","0.09508055235903323","11","16","1.4545454545454546"
"9","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","1","1.15","0.012658227848101267","0.09514240506329141","20","74","3.7"
"2","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","2","1.3636363636363635","0.005178365937859609","0.09565592635212883","11","10","0.9090909090909091"
"1","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","2","1.5454545454545454","0.00575373993095512","0.09568469505178356","11","10","0.9090909090909091"
"8","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","2","1.0909090909090908","0.006329113924050634","0.09510932105868808","11","22","2"
"4","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","2","1.4545454545454546","0.005178365937859608","0.09562715765247409","11","10","0.9090909090909091"
"3","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","3","1.4545454545454546","0.0069044879171461454","0.09536823935558114","11","12","1.0909090909090908"
"7","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","3","1.4545454545454546","0.005178365937859609","0.09508055235903334","11","12","1.0909090909090908"
"5","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","3","1.2727272727272727","0.005753739930955121","0.09482163406214039","11","16","1.4545454545454546"
"1","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","3","1.5454545454545454","0.00575373993095512","0.09568469505178356","11","10","0.9090909090909091"
"2","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","3","1.5454545454545454","0.005178365937859609","0.09565592635212894","11","6","0.5454545454545454"
"10","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","2","1.5454545454545454","0.004602991944764097","0.09470655926352134","11","6","0.5454545454545454"
"3","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","4","1.4545454545454546","0.006329113924050633","0.09531070195627156","11","8","0.7272727272727273"
"7","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","4","1.4545454545454546","0.00517836593785961","0.09508055235903334","11","12","1.0909090909090908"
"2","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","4","1.5454545454545454","0.00517836593785961","0.09556962025316418","11","6","0.5454545454545454"
"8","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","3","1.1818181818181819","0.006329113924050634","0.0951380897583427","11","18","1.6363636363636365"
"10","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","3","1.8181818181818181","0.0046029919447640975","0.09470655926352123","11","2","0.18181818181818182"
"4","82","11","100","90","0.1","0.01","0.1","0","1","10","10","10","false","false","3","1.5454545454545454","0.004027617951668585","0.09562715765247409","11","6","0.5454545454545454"
