
"run.number","green.patches","initial.villages","fertile.land","barren.land","tribute","probability.fragment","probability.grow","probability.death","probability.attack","placement.distance","moving.distance","conquering.area","links","labels","step","average.hierarchy","social.circumscription","environmental.circumscription","count.villages","all.visible.rivals","average.visible.rivals"
"5","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"2","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"3","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"7","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"4","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"1","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"6","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"8","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"10","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"9","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","0","0","0","0","11","0","0"
"5","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.2727272727272727","0.005753739930955121","0.8544303797468354","11","14","1.2727272727272727"
"6","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.4545454545454546","0.0069044879171461454","0.8539125431530494","11","14","1.2727272727272727"
"1","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.2727272727272727","0.006904487917146146","0.8590909090909091","11","18","1.6363636363636365"
"10","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.2727272727272727","0.006329113924050634","0.860385500575374","11","16","1.4545454545454546"
"5","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","2","1.6363636363636365","0.005753739930955121","0.8544303797468354","11","8","0.7272727272727273"
"8","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.5454545454545454","0.006329113924050634","0.8554660529344074","11","12","1.0909090909090908"
"9","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.3846153846153846","0.006329113924050634","0.8566212268743914","13","16","1.2307692307692308"
"2","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.5454545454545454","0.005178365937859609","0.8585730724971231","11","8","0.7272727272727273"
"3","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.3333333333333333","0.00949367088607595","0.8539556962025316","12","30","2.5"
"5","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","3","1.9090909090909092","0.005753739930955121","0.8544303797468354","11","6","0.5454545454545454"
"1","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","2","1.2727272727272727","0.006329113924050634","0.8609033371691599","11","16","1.4545454545454546"
"7","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.2307692307692308","0.005842259006815969","0.8594693281402142","13","18","1.3846153846153846"
"4","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","1","1.2727272727272727","0.005753739930955121","0.8546892980437284","11","14","1.2727272727272727"
"8","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","2","1.7272727272727273","0.006329113924050634","0.8549482163406215","11","10","0.9090909090909091"
"6","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","2","1.7272727272727273","0.006904487917146144","0.8539125431530494","11","4","0.36363636363636365"
"3","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","2","1.4166666666666667","0.009493670886075948","0.8539556962025316","12","26","2.1666666666666665"
"9","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","2","1.6153846153846154","0.006329113924050633","0.8566212268743914","13","10","0.7692307692307693"
"1","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","3","1.2727272727272727","0.005753739930955121","0.860126582278481","11","14","1.2727272727272727"
"4","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","2","1.9090909090909092","0.005753739930955121","0.8539125431530494","11","4","0.36363636363636365"
"8","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","3","2","0.006329113924050634","0.8549482163406215","11","4","0.36363636363636365"
"2","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","2","1.6363636363636365","0.005178365937859609","0.8585730724971231","11","6","0.5454545454545454"
"6","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","3","1.5714285714285714","0.0081374321880651","0.8548372513562387","14","16","1.1428571428571428"
"10","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","2","1.6153846153846154","0.00730282375851996","0.8599074975657254","13","10","0.7692307692307693"
"4","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","3","1.9090909090909092","0.005753739930955123","0.8539125431530495","11","4","0.36363636363636365"
"3","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","3","1.5833333333333333","0.010021097046413503","0.8544303797468354","12","24","2"
"7","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","2","1.4615384615384615","0.005842259006815969","0.8594693281402142","13","14","1.0769230769230769"
"5","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","4","1.7857142857142858","0.008589511754068717","0.8534132007233273","14","20","1.4285714285714286"
"1","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","4","1.75","0.007383966244725739","0.8598892405063291","12","14","1.1666666666666667"
"2","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","3","1.7272727272727273","0.005178365937859609","0.8585730724971231","11","2","0.18181818181818182"
"10","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","3","1.6428571428571428","0.0081374321880651","0.8589059674502713","14","12","0.8571428571428571"
"8","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","4","2.0833333333333335","0.007383966244725738","0.8541930379746836","12","6","0.5"
"7","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","3","1.6923076923076923","0.005842259006815969","0.8594693281402142","13","10","0.7692307692307693"
"9","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","3","1.5625","0.00791139240506329","0.8556764240506329","16","22","1.375"
"3","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","4","1.5833333333333333","0.008438818565400843","0.8558544303797468","12","20","1.6666666666666667"
"6","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","4","1.5625","0.009098101265822785","0.855498417721519","16","24","1.5"
"2","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","4","1.7272727272727273","0.005178365937859609","0.8585730724971231","11","2","0.18181818181818182"
"4","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","4","2","0.007479861910241658","0.8552071346375144","11","6","0.5454545454545454"
"5","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","5","1.8571428571428572","0.00949367088607595","0.8542269439421338","14","26","1.8571428571428572"
"10","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","4","1.5714285714285714","0.0081374321880651","0.8589059674502713","14","16","1.1428571428571428"
"4","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","5","2","0.007479861910241656","0.8552071346375143","11","6","0.5454545454545454"
"7","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","4","2","0.00584225900681597","0.8594693281402142","13","6","0.46153846153846156"
"9","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","4","1.625","0.007911392405063292","0.855498417721519","16","20","1.25"
"3","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","5","1.6666666666666667","0.00791139240506329","0.8570411392405063","12","16","1.3333333333333333"
"8","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","5","2","0.009250243427458617","0.8533349561830574","13","16","1.2307692307692308"
"5","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","6","1.8571428571428572","0.00949367088607595","0.8542269439421338","14","26","1.8571428571428572"
"4","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","6","2","0.007479861910241656","0.8552071346375144","11","6","0.5454545454545454"
"8","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","6","2","0.009250243427458619","0.8533349561830574","13","16","1.2307692307692308"
"2","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","5","1.75","0.006329113924050633","0.8589398734177215","12","2","0.16666666666666666"
"1","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","5","1.8666666666666667","0.010126582278481013","0.8593670886075949","15","22","1.4666666666666666"
"10","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","5","1.5714285714285714","0.0081374321880651","0.8576853526220615","14","16","1.1428571428571428"
"3","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","6","1.8461538461538463","0.008763388510223954","0.8559639727361246","13","14","1.0769230769230769"
"4","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","7","2.272727272727273","0.007479861910241658","0.8552071346375143","11","0","0"
"5","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","7","1.9285714285714286","0.010397830018083183","0.8554475587703436","14","28","2"
"1","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","6","1.9333333333333333","0.010126582278481015","0.8593670886075949","15","16","1.0666666666666667"
"7","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","5","1.8666666666666667","0.007172995780590718","0.8589873417721519","15","16","1.0666666666666667"
"6","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","5","1.588235294117647","0.010052122114668653","0.8559381980640357","17","28","1.6470588235294117"
"3","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","7","1.8461538461538463","0.008763388510223954","0.8559639727361246","13","14","1.0769230769230769"
"2","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","6","2.25","0.006329113924050633","0.8589398734177216","12","0","0"
"9","82","11","100","10","0.1","0.01","0.5","0","1","10","10","10","false","false","5","1.75","0.006724683544303799","0.8535403481012658","16","16","1"
